knee_angle,hip_angle,back_angle,label
91.52972924074908,89.86341758178563,166.32495257233325,incorrect
98.86033054523715,90.267233916581,175.13879421626754,incorrect
106.7859419589818,81.04172450539966,178.33440712285193,incorrect
93.78081537600335,87.08404520577432,170.79352917285988,incorrect
73.90217550338423,81.90730062999381,141.85271606787052,incorrect
89.55910395231703,58.1426311651191,160.71513039686286,incorrect
85.60192310331865,64.59550409193862,158.57771005442982,incorrect
108.10633826301253,97.38213556263514,159.23644626836634,incorrect
73.18400965682824,87.0992445778345,169.7294694050255,incorrect
86.31972564952333,80.24697792747895,148.11585843611985,incorrect
89.13358480408749,78.82633542131046,164.3723989492706,incorrect
102.72131493989897,76.64690125914069,155.64930052786977,incorrect
81.55838490487216,85.87375977977615,160.50084054373085,incorrect
105.74969037238893,103.83015615833864,175.52282207047588,incorrect
88.77779509871021,53.30349337125267,156.55342207631992,incorrect
77.64472773036663,77.76094401313088,153.33090879780906,incorrect
97.15496295933826,88.47703543929775,171.04405083039953,incorrect
96.93744448003542,83.56583913580947,179.64824770815696,incorrect
76.41232283153465,55.99507068109416,168.0123910607503,incorrect
86.66564188704598,61.33740690930503,171.62078826040664,incorrect
94.93411899830363,90.73567710003638,172.76649131446501,incorrect
77.65909436005018,61.00835405553071,161.82246551190642,incorrect
94.65905100278815,111.53452304419505,167.62369957439185,correct
101.10951599753123,105.72848339618386,176.1387975491106,incorrect
100.4156270993501,81.8729132006675,158.8577608560739,incorrect
114.71870372417871,131.49283740436815,150.16415585236837,correct
107.15547865410187,125.30319172763825,174.8631921018954,correct
84.42084954125373,85.94057811814855,163.72168567316038,incorrect
80.01849573775684,64.65670739198276,171.2225184985766,incorrect
86.05543523357409,81.11851822319562,166.9084776366967,incorrect
75.90929111967745,73.9713555005912,172.32475765211677,incorrect
113.2020981760532,90.88417675510573,179.33691943222416,incorrect
72.2522892665624,92.12754858510931,151.20382021402173,incorrect
90.25703130902144,93.54588930902757,173.59352529164232,incorrect
75.7993801259084,68.96985412050219,153.73248743870823,incorrect
104.9057683766658,99.59760139913034,169.78628484588916,incorrect
81.22390014233326,74.27603340385087,176.51185184739728,incorrect
98.49140617642034,98.18522803613234,165.2587329010661,incorrect
77.47954791705632,53.77113888442239,157.90531858215152,incorrect
96.2151159063175,87.71079460574629,169.9679462848183,incorrect
80.97578646168131,103.56498178423325,168.45340486715847,incorrect
86.5290807755888,90.50704124860968,168.88819271215453,incorrect
89.56704610579301,108.3899339156269,169.30217521676633,incorrect
111.61770185408724,96.10652057980218,153.92900332470916,incorrect
78.5576534970319,62.42809776038712,157.60053677526463,incorrect
112.26542633110061,101.92507878662002,175.5089352307659,incorrect
101.55973372405346,107.26696652985251,175.58471624838774,incorrect
98.60946148050296,103.66457355367362,168.37710632597702,incorrect
96.00826602211436,87.0131953743576,164.17944050517139,incorrect
109.15348089526456,92.55344615814403,161.9380097429232,incorrect
112.01872241674525,169.70546120472747,152.36296304663986,correct
86.74760979783395,81.35368757605129,170.69005304621024,incorrect
78.79107126444279,59.833039191930595,160.53386054423953,incorrect
103.16298289898762,114.4032645202079,159.4408980924814,correct
89.4315007289004,125.22468892286503,177.30210658981008,correct
102.20596720092391,83.9429980676499,164.10651496141665,incorrect
97.98163852094211,87.7844854388955,175.67557459075542,incorrect
116.05968904473954,107.3501525472679,154.43965471003423,incorrect
72.49308021723368,66.9727532094772,174.36018544874798,incorrect
86.78995895643862,76.23351129159815,166.33248319771937,incorrect
74.1075329948174,95.48798960491068,176.86712586290471,incorrect
95.50756544947541,101.1897775894804,163.68557724184797,incorrect
76.23580325972561,56.120048134044055,164.59803225640863,incorrect
78.44297085419788,77.0327001471875,155.38266210937374,incorrect
77.1938910823427,171.80000630275924,154.5439630004586,correct
73.18045115724024,62.79154398451141,168.76468602378438,incorrect
98.34341626175842,100.57153778324812,156.50922016850197,incorrect
80.44712461941721,87.01405738572578,152.6647474489476,incorrect
83.5684401040852,85.1725233886969,153.72730948502235,incorrect
85.3393581201496,102.39418575775613,145.5472636918488,incorrect
90.18843047134378,89.54497805290276,154.51064177064472,incorrect
74.35097794412422,80.16896020617666,179.18471040491136,incorrect
71.75600208833885,54.11261677732544,153.44286800091237,incorrect
73.0946532884717,58.561718153608396,157.46941536340543,incorrect
70.55339099469849,42.33549327571537,141.5718096386787,incorrect
73.38012576441332,55.32390308851562,152.9333752121973,incorrect
72.67681298250898,56.70377756851607,154.61403545816012,incorrect
93.20775293544553,70.76858890013676,164.8745365588506,incorrect
89.3754249288208,65.04638042670257,169.79955973808987,incorrect
105.72166221174885,131.88459207838747,154.90039992239537,correct
71.91651378212917,71.86301869521049,150.30383961433952,incorrect
71.13050840403645,77.54325380395035,175.82881200826378,incorrect
103.14066672241383,105.58252678505687,167.77554326079306,incorrect
94.1001578797643,99.60278531630757,164.68308240653934,incorrect
96.72647943917721,105.11292836934769,170.04488077786226,incorrect
76.45442077918898,78.71505793627084,169.0608836619817,incorrect
116.67283176889018,121.63772164108775,145.8083824139041,correct
104.12012724516917,120.53477544561918,144.37292570279638,correct
111.64387353066019,111.34021058613163,146.85504081912828,correct
114.78430511351718,123.30872521762478,145.8450384559988,correct
82.27200247358866,78.15137056528911,159.9875481810839,incorrect
80.59679327506893,75.56173813075809,164.98133469135445,incorrect
84.89903716686183,78.26061515396614,168.36309411039895,incorrect
83.7079941074428,78.63510478996521,172.6477120001628,incorrect
79.33432588566842,76.12396130492165,172.81768997362678,incorrect
83.4324827787404,78.96977584677255,165.4117436563836,incorrect
86.21731714717185,79.36258151672982,168.9572934247964,incorrect
80.60303499007442,72.24244675626369,177.99505875531878,incorrect
75.2488631521183,76.3547222452684,159.1389221351647,incorrect
79.16983560983263,72.35859120740844,173.59288194103306,incorrect
98.0474407377742,98.01414497946405,147.1432893674797,incorrect
89.38336273290969,88.66496942164589,147.55800290208805,incorrect
97.70184329247456,95.01313404011844,146.31470216229508,incorrect
86.19445690832369,85.38412230297847,146.7265152103068,incorrect
87.8482071247135,86.88359026950478,144.85367293272057,incorrect
91.10463566198734,89.47590335783711,145.5477765482868,incorrect
99.49108649781095,99.3657143092505,147.91108372641466,incorrect
74.11475529234644,63.76401485997525,145.83818603687953,incorrect
73.01839885509497,67.89887458437791,154.7275866778992,incorrect
75.03320454084616,74.79839964708115,162.44197451651814,incorrect
113.6503861604243,114.20954285575766,160.06420318187185,correct
72.23040020186062,71.91065956414077,166.07483917551264,incorrect
77.3006242409731,83.15647311281163,174.22847162391997,incorrect
72.99716401160985,69.71469230713144,157.27358928809306,incorrect
72.30467482518975,69.74240931755259,160.96193382539252,incorrect
82.03639662730939,56.294159371467046,142.85020133361328,incorrect
76.50565143042972,57.11664554205379,177.21029171316624,incorrect
70.26072009665647,44.782692698949795,119.60874269708638,incorrect
77.25948607853128,51.87745521028182,116.60257186576743,incorrect
75.87229881319922,82.55067153343307,151.76827272584504,incorrect
75.95696403440128,82.12041705544296,151.91721331210672,incorrect
78.56694047663677,83.7971338835,150.46508011908534,incorrect
76.08478893748998,81.9021543773588,147.71821906014003,incorrect
77.07616374089406,84.77549428708097,150.6260814078592,incorrect
73.38040929277219,79.45326207602236,153.39392593097375,incorrect
77.66485717968175,83.03944918029036,148.67228996880056,incorrect
