knee_angle,hip_angle,back_angle,label
118.23844660413609,115.42306410972172,97.48896379797227,correct
162.09700666904033,169.68174863797188,167.10115593363378,incorrect
157.7271602337242,157.1076503646075,167.06215665487855,incorrect
175.74957436680324,160.58005044889617,114.33522410316333,incorrect
84.35937124593268,81.23663881836438,106.68017983945164,correct
90.80302151450952,93.72379520700906,138.9575673394045,correct
157.60761488602157,159.77645455393017,159.40176378692354,incorrect
171.9658225465374,177.7122286643165,163.54477805444958,incorrect
113.43185630007088,89.65704727684988,134.47268615878858,correct
160.7975642753254,162.27795882870902,160.45797932550565,incorrect
177.74950550870108,177.8531180457768,165.2778657172344,incorrect
137.486764727944,133.44771611343492,115.58430522418384,incorrect
103.94143103207284,91.61832701434857,142.7206828320223,correct
125.96807729392654,110.91722232386178,179.1099334658371,incorrect
110.82926605342718,109.4142675460906,178.65611809257453,correct
103.87070551464208,111.39369800385776,157.68445341818384,correct
101.46184031684425,98.37938739567144,108.11562730970697,correct
97.3561119978404,106.98378652957666,171.27800797505776,correct
112.33773736878172,99.00710246837154,150.9555168560055,correct
177.05062604441537,169.28755684876185,158.9301973291791,incorrect
159.84061494591197,156.61569424322272,118.40050858094168,incorrect
158.51500947889872,150.72102371843877,172.03076749559276,incorrect
99.2748174852764,103.12237804336088,137.84904126028812,correct
177.17968642090372,156.03421602323314,110.21385249684414,incorrect
111.43910071352232,99.85976675138733,30.41508832447424,correct
103.28233903663568,100.07543830541692,178.7427152618036,correct
76.3318235149261,82.33770258875906,135.28074060906374,correct
104.47397826001944,94.67592206030882,168.81222862973246,correct
171.60495826319578,172.56613378049676,165.03343037728845,incorrect
75.26472165365229,73.41969578772442,107.78363573291657,correct
158.44566729409527,129.97042591253367,111.62765670087488,incorrect
173.27096906513455,154.62934997282363,107.64295731074655,incorrect
166.69466847154612,174.5794329900057,161.6767163089278,incorrect
161.27807421721496,167.51647706127764,168.29350414973942,incorrect
152.69784467620843,146.98620103333627,130.5563429811878,incorrect
70.74078416194274,75.54955252485252,170.39467098731413,correct
82.8436897449883,84.17788921815674,164.8623671239738,correct
76.24159526151078,86.10531394750572,138.40783956630548,correct
