knee_angle,hip_angle,back_angle,label
148.20141859720084,148.35531569968919,148.39409141474377,incorrect
147.83392384101464,147.99289308478984,147.00289090611676,incorrect
152.01495237167083,149.40081442193718,142.51247349625984,incorrect
154.2496776483939,148.29475090253777,135.96762735392483,incorrect
147.46265041571044,139.93049217297772,129.83179886364957,incorrect
138.506165134234,129.3945927642202,130.47534961481986,incorrect
128.96461574054666,118.82680679474262,136.49402389136955,incorrect
127.65647039431357,113.5500979957666,132.51577593672553,incorrect
119.94725022917208,103.64394165241487,132.32025862068767,correct
104.5472442640828,87.34572748667108,125.02006576967037,correct
88.17248174740871,69.65793178801528,139.36703902528137,correct
77.13029835537073,58.07427573103864,151.83215531773806,correct
71.40257591515174,51.40030905244901,157.1002438714969,correct
69.27931079829615,49.90282188462906,157.2763886446792,incorrect
71.06244408271624,52.13109161266038,155.2583341696676,correct
73.25293551462754,54.638351294206764,153.7659053492958,correct
73.47857701195471,55.4245962157273,152.48335078234695,correct
72.86026891017768,54.85039743055496,154.96437675219124,correct
71.84740835535419,53.60666327157234,159.36394074914293,correct
70.80411379366123,53.2279404042801,159.50987361270168,correct
75.88344409316451,58.485201259885926,157.06364969099022,correct
82.07030279413529,64.79015742156281,153.6303973096553,correct
87.58846097031893,70.3823532372561,151.22462632494666,correct
153.1728943609104,163.6567675317954,67.98630381545628,incorrect
154.01352926786265,163.21915254899267,66.42636638093738,incorrect
154.9622895746309,162.3865028950347,64.93955296164188,incorrect
160.8230655847766,162.08888391715197,66.51884992332133,incorrect
151.3871702652004,151.73648896189025,97.96598786838003,incorrect
151.3540847239885,151.50848080525637,97.58750593982785,incorrect
149.64940643752416,148.50028862120405,83.87213397525161,incorrect
150.07475128618202,148.5352955444135,83.78809770446433,incorrect
145.69669765844793,141.31875812432193,107.36093298400769,incorrect
143.1334142102564,137.61612936155262,108.6579093324487,incorrect
138.7622612232771,131.3423776971307,112.06604189004062,incorrect
131.89072547521798,120.78011675877303,116.90912282983192,incorrect
126.05217469302379,111.4266852524255,125.21084721276102,incorrect
123.06196117338871,106.33840431671385,136.82674932837276,incorrect
