elbow_angle,back_angle,hip_angle,knee_angle,exercise
54.71815684188387,159.1178732816168,141.52830307925578,138.14301876693813,pushup
158.8406033730235,144.19475902553208,136.47982185985728,159.68840918770616,pushup
138.87994785417047,146.3270827213431,131.14787375543807,138.8668692421111,pushup
64.85056592558672,173.48647797026584,158.25314588372584,139.91722039029398,pushup
76.35277327289332,137.54234374627262,118.5053350503629,136.3217711661325,pushup
80.77464854360245,158.28580430576665,126.49958104938558,112.4388337157656,pushup
76.0543800169866,150.37019474045155,123.04092506905072,119.24790192234109,pushup
156.7806593639313,140.46513834995528,135.2667004285175,166.62518474505873,pushup
158.8407950435484,136.67458955899795,130.7793116658211,164.34905929206712,pushup
49.717904620578,163.62775717274755,144.12617387887656,131.59968821700213,pushup
145.57887427387595,121.10027963661508,114.6474648843213,164.9202273559596,pushup
159.48656146930546,142.26756403070192,137.08026422095418,167.81761341113878,pushup
47.56996845720787,162.47967264565398,147.96199268518473,143.8005977679741,pushup
171.58397136148164,129.1807569277731,117.65115620316432,151.64379111057764,pushup
163.72668951676891,123.5911847177304,121.4320591519677,174.800536601676,pushup
73.89975175074873,155.49173179711823,143.40906037628673,150.46046694432678,pushup
121.08593497984016,150.10551590712464,135.4018176214259,143.85530926761874,pushup
177.56961948163095,151.85742353315948,150.41652523593442,176.8412233440457,pushup
134.11865935842715,147.89078409217495,133.57320236915962,144.13789129673387,pushup
63.115062473212056,167.64210853064566,158.302566901998,155.94449024719668,pushup
169.68782264962627,100.2515860314935,97.6228527667312,173.25957355432155,pushup
176.6182943213115,176.35962547213052,173.12630805964835,169.16683854605847,pushup
177.9074537644792,175.40029304248736,171.54993488976368,169.81790557119544,pushup
178.4733798210433,173.9505899960159,169.35784477363916,164.03072100798113,pushup
177.91076855034478,175.02467514139596,169.89300676059733,160.02311990352194,pushup
174.4073705047431,159.06037296451717,145.40884326156515,155.1820140432633,pushup
164.61676244583316,178.71864197520534,175.4615106170187,167.77306248011055,pushup
170.66759527481534,164.48643949043895,155.7208596708003,160.23562921752307,pushup
174.24952171544908,173.83378189928692,165.13996700442485,160.9275843693713,pushup
158.30806792158273,178.71064448192854,174.26320101415055,170.7060005323749,pushup
112.17220447466138,174.17293448959143,179.0092556938853,170.03580056714995,pushup
159.64199274945543,176.25054244346626,179.56296527010167,171.38240409295454,pushup
169.80345928084282,151.49853281233447,148.77959650923722,173.99058436367878,pushup
173.92152462924878,179.27157578321012,175.60850850077094,172.59007860303447,pushup
156.25185796713816,168.67258277700262,152.81882791166234,138.38130318359998,pushup
169.4233496714416,176.8909609602085,166.21041427852435,154.0379073040185,pushup
177.1769455921476,176.8661769356264,167.33418734229042,155.5793666872,pushup
169.15720741454584,169.56897265290874,156.04277820471538,140.22910638512894,pushup
