elbow_angle,shoulder_angle,back_angle,hip_angle,knee_angle,label
171.60788124178583,77.23592099732637,157.45240418777396,156.8112889731813,178.65421816344008,correct
163.4289768920551,74.06302599832891,166.29102525594178,164.33552037029293,175.60752718925417,correct
151.25805278923278,67.91439136747454,172.49476516299055,173.00525838693463,178.86266317441462,correct
152.10710238664288,71.55303720465494,173.89226450025384,176.18161233050265,175.0142252150535,correct
150.3475460781392,69.43149279923013,174.90356232026312,174.89171160821965,179.97534973457059,correct
139.67247669221462,58.85947090573052,179.72750774000042,179.14063894427423,177.61844488207694,correct
139.67247669221462,58.27923484768177,178.81824389941164,178.39760084923472,179.1160808499266,correct
139.67247669221462,57.012835320974695,176.8723075192113,175.85918751350962,177.84406704090856,correct
144.9542766579161,62.49499686030989,179.03852212407546,177.97009892491343,177.68335850372384,correct
163.34204800215417,62.05137529834038,178.8859439756194,177.2397033536274,176.04181059966808,correct
170.72456945337018,62.78585628351015,178.84442037007864,178.2158088469322,178.60353786110625,correct
176.24818176038943,66.08527369666797,177.04152723897013,175.99727325813885,177.61379670105262,correct
176.24818176038943,65.50819638645363,177.81384299537785,176.85136144105485,177.89080757375427,correct
171.72037068474856,62.61506827675192,179.9317280772143,177.88597037567664,174.88359310897894,correct
146.0110337274156,59.21013438413963,178.85468923173144,176.34180119276692,174.58468516128085,correct
140.94227969007386,51.99277625575782,173.65583892795132,176.5172407301979,173.66648723671383,correct
136.63121767077516,52.035485085542646,174.17932354347414,175.69208848120505,176.74635244912938,correct
124.26351802964729,45.168323914595575,176.23815966907466,178.45989198491614,169.3144093191608,correct
124.53261545171466,38.167518353567765,169.73453697228274,173.33730494686543,172.67193191690475,correct
124.53261545171466,38.167518353567765,169.73453697228274,172.52199873481402,174.01170028241305,correct
133.1429264101144,46.59295516083838,174.50921007333184,179.26397791985158,167.12181214622007,correct
140.1246675574081,47.202705250742525,170.1274269077484,173.41115848173524,172.9648471772034,correct
154.58417023146777,51.66624064314651,170.40087748474417,173.02565396840714,174.34478603524516,correct
162.01848092258692,56.40197648825081,175.2711520585173,175.34785319009268,179.8218905149995,correct
167.61196400108463,59.722805196695475,177.96047624343694,178.25645047680356,179.30450738417323,correct
167.61196400108463,59.722805196695475,177.96047624343694,178.25645047680356,179.30450738417323,correct
173.41606533990003,61.14893297143983,178.76521703357906,178.24524732017454,178.78581062554744,correct
173.41606533990003,61.14893297143983,178.76521703357906,178.24524732017454,178.78581062554744,correct
172.2970690307916,64.5626376434195,176.70208198533285,177.2220516987374,178.78581062554744,correct
150.57376582778338,59.71002399614675,178.20128856219023,179.39745383181312,177.1367861596135,correct
148.11079381905068,55.81756056279845,176.22558640190027,177.69295647382103,176.7081173913021,correct
130.76479020317151,47.15675190655744,174.97734853666532,178.28554600988372,172.56455584518628,correct
